,ind_code,discription
0,VC.IHR.PSRC.MA.P5,"Intentional homicides, male (per 100,000 male)"
1,VC.IDP.NWCV,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)"
2,VA.PER.RNK.LOWER,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval"
3,TX.VAL.TRVL.ZS.WT,Travel services (% of commercial service exports)
4,TX.VAL.SERV.CD.WT,Commercial service exports (current US$)
5,TX.VAL.MRCH.WL.CD,Merchandise exports by the reporting economy (current US$)
6,TX.VAL.MRCH.R4.ZS,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)
7,TX.VAL.MRCH.OR.ZS,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)
8,TX.VAL.MMTL.ZS.UN,Ores and metals exports (% of merchandise exports)
9,TX.VAL.FUEL.ZS.UN,Fuel exports (% of merchandise exports)
10,TX.QTY.MRCH.XD.WD,Export volume index (2015 = 100)
11,TM.VAL.TRAN.ZS.WT,Transport services (% of commercial service imports)
12,TM.VAL.MRCH.WR.ZS,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)
13,TM.VAL.MRCH.R5.ZS,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)
14,TM.VAL.MRCH.R1.ZS,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)
15,TM.VAL.MRCH.AL.ZS,Merchandise imports from economies in the Arab World (% of total merchandise imports)
16,TM.VAL.ICTG.ZS.UN,ICT goods imports (% total goods imports)
17,TM.UVI.MRCH.XD.WD,Import unit value index (2015 = 100)
18,TM.TAX.TCOM.SM.FN.ZS,"Tariff rate, most favored nation, simple mean, primary products (%)"
19,TM.TAX.TCOM.BC.ZS,"Binding coverage, primary products (%)"
20,TM.TAX.MRCH.SM.FN.ZS,"Tariff rate, most favored nation, simple mean, all products (%)"
21,TM.TAX.MRCH.BC.ZS,"Binding coverage, all products (%)"
22,TM.TAX.MANF.SM.FN.ZS,"Tariff rate, most favored nation, simple mean, manufactured products (%)"
23,TM.TAX.MANF.BC.ZS,"Binding coverage, manufactured products (%)"
24,ST.INT.XPND.CD,"International tourism, expenditures (current US$)"
25,ST.INT.TRNR.CD,"International tourism, receipts for passenger transport items (current US$)"
26,ST.INT.ARVL,"International tourism, number of arrivals"
27,SP.URB.GROW,Urban population growth (annual %)
28,SP.REG.DTHS.ZS,Completeness of death registration with cause-of-death information (%)
29,SP.REG.BRTH.MA.ZS,"Completeness of birth registration, male (%)"
30,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)"
31,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people)
32,SP.POP.DPND,Age dependency ratio (% of working-age population)
33,SP.POP.7579.MA.5Y,"Population ages 75-79, male (% of male population)"
34,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population)
35,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)"
36,SP.POP.6064.MA.5Y,"Population ages 60-64, male (% of male population)"
37,SP.POP.5054.MA.5Y,"Population ages 50-54, male (% of male population)"
38,SP.POP.4044.MA.5Y,"Population ages 40-44, male (% of male population)"
39,SP.POP.3034.MA.5Y,"Population ages 30-34, male (% of male population)"
40,SP.POP.2024.MA.5Y,"Population ages 20-24, male (% of male population)"
41,SP.POP.1564.MA.ZS,"Population ages 15-64, male (% of male population)"
42,SP.POP.1519.MA.5Y,"Population ages 15-19, male (% of male population)"
43,SP.POP.0509.MA.5Y,"Population ages 05-09, male (% of male population)"
44,SP.POP.0014.MA.ZS,"Population ages 0-14, male (% of male population)"
45,SP.POP.0004.MA.5Y,"Population ages 00-04, male (% of male population)"
46,SP.M15.2024.FE.ZS,Women who were first married by age 15 (% of women ages 20-24)
47,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)"
48,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)"
49,SP.DYN.CONU.ZS,"Contraceptive prevalence, any method (% of married women ages 15-49)"
50,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)"
51,SN.ITK.SVFI.ZS,Prevalence of severe food insecurity in the population (%)
